N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
10000,4,0.000876,0.001089,0.804621,0.201155,1229
10000,4,0.000776,0.001099,0.706436,0.176609,1229
10000,4,0.000895,0.001015,0.881655,0.220414,1229
10000,4,0.000885,0.001132,0.781243,0.195311,1229
10000,4,0.000810,0.000994,0.814844,0.203711,1229
10000,4,0.000855,0.001028,0.831932,0.207983,1229
10000,4,0.000914,0.001030,0.887399,0.221850,1229
10000,4,0.000849,0.001038,0.817892,0.204473,1229
10000,4,0.001138,0.000952,1.195335,0.298834,1229
10000,4,0.000835,0.001105,0.755042,0.188760,1229
10000,4,0.000776,0.001106,0.701916,0.175479,1229
10000,4,0.000875,0.001128,0.775744,0.193936,1229
10000,4,0.000831,0.001114,0.745794,0.186449,1229
10000,4,0.000806,0.000943,0.854273,0.213568,1229
10000,4,0.001021,0.001052,0.970895,0.242724,1229
10000,4,0.000868,0.001107,0.783523,0.195881,1229
10000,4,0.000925,0.001057,0.874950,0.218737,1229
10000,4,0.000997,0.001130,0.882057,0.220514,1229
10000,4,0.000784,0.000996,0.786865,0.196716,1229
10000,4,0.001154,0.001047,1.102013,0.275503,1229
10000,4,0.000868,0.001025,0.846242,0.211560,1229
10000,4,0.000863,0.001029,0.838861,0.209715,1229
10000,4,0.000849,0.001036,0.819835,0.204959,1229
10000,4,0.000790,0.001032,0.765481,0.191370,1229
10000,4,0.000849,0.001078,0.787496,0.196874,1229
10000,4,0.000923,0.001078,0.856186,0.214047,1229
10000,4,0.000819,0.001079,0.759004,0.189751,1229
10000,4,0.000858,0.001011,0.848821,0.212205,1229
10000,4,0.000907,0.001045,0.868022,0.217006,1229
10000,4,0.000793,0.001003,0.791056,0.197764,1229
10000,4,0.000970,0.001034,0.938031,0.234508,1229
10000,4,0.000886,0.000930,0.953350,0.238337,1229
10000,4,0.000838,0.000981,0.854772,0.213693,1229
10000,4,0.000993,0.001134,0.875766,0.218941,1229
10000,4,0.000752,0.001110,0.677683,0.169421,1229
10000,4,0.000834,0.001066,0.782329,0.195582,1229
10000,4,0.000787,0.000936,0.840422,0.210105,1229
10000,4,0.001108,0.001071,1.034987,0.258747,1229
10000,8,0.000867,0.001300,0.666820,0.083352,1229
10000,8,0.000852,0.001431,0.595292,0.074412,1229
10000,8,0.000757,0.001386,0.546446,0.068306,1229
10000,8,0.000885,0.001363,0.648912,0.081114,1229
10000,8,0.000857,0.001396,0.613437,0.076680,1229
10000,8,0.000765,0.001327,0.576331,0.072041,1229
10000,8,0.001039,0.001293,0.803253,0.100407,1229
10000,8,0.000802,0.001493,0.537234,0.067154,1229
10000,8,0.000982,0.001330,0.738852,0.092356,1229
10000,8,0.000871,0.001343,0.648901,0.081113,1229
10000,8,0.000838,0.001186,0.706797,0.088350,1229
10000,8,0.000843,0.001300,0.648103,0.081013,1229
10000,8,0.000841,0.001370,0.614021,0.076753,1229
10000,8,0.000815,0.001310,0.622521,0.077815,1229
10000,8,0.000797,0.001399,0.569887,0.071236,1229
10000,8,0.000848,0.001299,0.652458,0.081557,1229
10000,8,0.000762,0.001285,0.593286,0.074161,1229
10000,8,0.000940,0.001290,0.729268,0.091158,1229
10000,8,0.000858,0.001269,0.675720,0.084465,1229
10000,8,0.000910,0.001368,0.665129,0.083141,1229
10000,8,0.000817,0.001385,0.590190,0.073774,1229
